Species,Animal,Muscle,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),Compactness,"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation""",Fibre Diameter (_m)
Human,Human,PB,0.99,146.7,128.5,23,14,71.8,3.4,4.12,142,176.6,32.8,109.4,322.1,56.8,103.2,57.6,3.7,58.7,0.62,46.1
Human,Human,PB,1.23,171.3,152.7,28,13,78.4,3.7,4.04,148.9,273.9,42.1,119.6,417.7,66.8,125.1,47.7,3.4,98.1,0.59,53.9
Human,Human,PB,1.16,231.6,198.8,43,21,110.7,3.2,4.72,195.7,250,48,135.1,477.2,55.3,152.6,61,4.8,65.2,0.7,79.8
Human,Human,PB,0.77,106.7,66.4,25,9,46.1,2.1,3.87,109,170.8,31.5,86.8,279.1,63.2,61.4,36.3,2.8,78.2,0.51,59.6
Human,Human,PB,0.75,131.1,96.2,28,11,56.9,2.4,3.96,131.7,189.3,33.7,96.3,317.6,61.9,84.4,45.4,3.2,73.2,0.56,61.3
Human,Human,PB,0.5,147.9,103.2,34,9,57.1,1.8,4.18,195.3,205.8,37.2,105.6,397.4,54.2,81.4,37.4,4.4,65.2,0.59,76.7
Human,Human,PB,0.59,79.8,60.6,16,5,32.2,2.2,3.25,98.4,112.3,23.6,64.7,185.6,63.6,47.5,43.1,1.9,74.4,0.27,50.2
Human,Human,PB,0.72,161.4,127.4,34,20,83,2.7,4.42,171.6,176.8,41.4,107.6,333.3,55.4,99.6,56.4,3.8,56.8,0.6,45.8
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,155.8,228,39.2,108.2,383.7,62.7,110.975,50.10833333,3.4,82.7,0.55,79.2
Human,Human,EDL,0.58,136.2,96.5,24,9,56.3,2.7,3.85,187.9,185.9,37.9,100.7,335.4,58.1,83.6,48.4,3.5,76.4,0.53,73.7
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,143.4,144.5,34.5,90.4,258.4,59,110.975,50.10833333,3.1,56.7,0.53,67.2
Human,Human,EDL,0.68,159.7,159.6,35,30,96.7,3.3,4.73,152.5,283.1,39.5,106.1,384.4,74.4,147.4,52.6,2.9,126,0.52,50.6
Human,Human,EDL,0.68,117.3,102.6,17,10,54.4,3.6,3.63,115,165.9,28.7,77.9,279.6,61.9,91.1,55.8,2.9,66.4,0.55,65
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,208.6,231.1,33.8,96.8,415,56.7,110.975,50.10833333,6.3,47.4,0.76,51.8
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,209.5,238.9,41,104.4,418,57.7,110.975,50.10833333,6.4,42.1,0.8,52.6
Human,Human,EDL,0.85,97.1,78,17,8,43.3,2.9,3.49,98.8,142.9,27.9,77.2,237.9,62.4,69.7,48.3,2.6,73.3,0.46,46.5
Human,Human,EDL,0.96,206.5,166.2,35,16,89.3,3,4.53,183,261.8,46.1,127.6,460.1,59.1,143.4,56.1,6.1,52.3,0.78,63.1
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,151.8,223.3,39,106.9,392.6,60.5,110.975,50.10833333,4.1,78.5,0.6,121.9
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,79.4,91.6,23.5,64,161.2,59.7,110.975,50.10833333,2.6,42.3,0.5,30.8
Human,Human,EDL,1.13,253.5,214.8,50,34,135.6,3.2,5.1,206,277,51.6,138.3,499.7,58.5,167.6,62.4,5.1,68.6,0.72,54.7
Human,Human,EDL,1.14,147.9,150.6,24,17,78.8,3.9,4.14,145.7,238.6,33.9,94.9,369.4,68.7,122.6,50.9,2.7,111.1,0.47,58
Human,Human,EDL,0.99,132.3,138.8,21,13,66,3.2,3.97,133.5,234.2,34,90.7,327.6,70.7,117.4,48.4,2.5,124.5,0.4,72.3
Human,Human,EDL,0.88,135.8,108.6,23,12,61.4,3,4.03,133.7,221.2,35.1,97.3,361.5,64,101.8,45.7,3.4,85.6,0.59,56.2
Human,Human,EDL,0.67,195.1,161.9,35,16,88.5,2.6,4.39,174.8,316.8,42.8,119.2,491.3,66.1,142.5,45,4,124.1,0.58,81
Human,Human,EDL,0.43,111.3,75.6,24,7,41.1,1.9,3.49,150.7,178.9,34.8,92.5,290.5,62.5,66.1,39.8,3.3,73.6,0.51,57.3
Human,Human,EDL,0.53,110.9,85.5,20,7,45,2.5,3.6,122.5,164.9,30.3,85.4,271.9,63.5,78.5,47.9,3,71.7,0.54,57.6
Human,Human,EDL,0.793333333,150.3,128.225,27.08333333,14.91666667,71.36666667,2.983333333,4.079166667,127,176.7,33.7,87.7,279.8,64.2,110.975,50.10833333,3.2,69.4,0.56,41.4
Human,Human,S,0.8925,166.9153846,130.7076923,32.07692308,14.46153846,75.11538462,2.9,4.216153846,193.9,201.2,41.8,110,380.4,54.9,112.3461538,48.15384615,4.8,51,0.67,64.5
Human,Human,S,0.94,132.6,144.7,21,16,70.3,3.6,4.15,131.5,209.1,36.1,97.5,341,64.1,133.8,65.5,2.7,106.7,0.41,63.5
