Species,Animal,Muscle,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),Compactness,"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation""",Fibre Diameter (_m)
Dog,Dog 3,PB,1.4,424.0081306,339.1402269,69.79545455,49.37545455,209.6853655,3.334446895,5.718915588,513.8569995,407.7075043,50.89170248,139.7491144,874.6797376,47.05404912,233.3627193,57.75355448,3,212.1390129,0.470012626,86.00860845
Dog,Dog 4,PB,1.6,285.6372536,150.8772632,73.47222222,54.33555556,144.5925359,2.26748,5.651285585,396.5040973,226.1801076,31.82707333,94.59235163,445.9860073,51.90250131,114.6492609,49.46125995,2.888888889,120.3279255,0.380632716,83.62785023
Dog,Dog 1,PL,2.5,527.6978734,332.1727334,129.5789474,74.43578947,250.7989693,2.011434666,6.289392979,644.9808348,509.2469344,55.97525633,160.3733348,1018.253467,51.14634159,256.7116927,50.68503148,4.131578947,169.4930994,0.659617794,72.3327663
Dog,Dog 3,PL,1.2,559.0295968,362.9286299,135.5263158,69.33684211,256.4614806,2.060698619,6.178490827,723.2539013,495.0661998,62.57813537,185.292878,1248.555421,40.94125279,236.3950488,49.35247246,6.552631579,117.2038896,0.74288325,89.98436301
Dog,Dog 4,PL,1.9,417.2399062,319.8523045,72.72727273,46.95090909,196.0698468,3.021430845,5.639770362,486.7473864,506.558326,46.8020386,132.8581946,900.5932158,54.04271578,274.0168679,53.59676062,4.318181818,201.0673444,0.655263676,88.94160947
Dog,Dog 1,EDL,1,546.112131,389.4975116,116.55,73.29,261.5652327,2.288089955,6.298752136,683.1027647,553.5435344,59.21624677,174.9573384,1092.279605,51.61694291,293.9645388,53.11812491,5.975,157.9304625,0.717726267,63.09119305
Dog,Dog 3,EDL,2.9,487.0406792,353.2832968,96.14634146,70.36195122,247.6244851,2.8735337,6.050213133,566.2240571,401.5285488,47.72301703,141.6831856,902.4873075,45.91895709,237.2276497,58.41170727,3.195121951,182.5596911,0.493058635,72.66064206
Dog,Dog 4,EDL,2.5,354.3528845,247.534715,76.52631579,57.26,180.6716463,2.817652477,5.800375828,396.9798872,341.3623886,39.48607397,113.0132007,667.1194857,50.98059858,190.5372342,53.54111775,2.027027027,221.5203325,0.350450451,70.99461843
Sheep,Sheep 1,PL,1.122099979,265.4029147,180.9943885,42.15384615,29.64769231,128.6928918,3.389494934,5.002056609,301.2667409,210.9293364,30.36448516,84.54902156,397.5729711,53.8242506,144.4212595,70.5201605,4.615384615,90.07942946,0.568609702,76.98755
Sheep,Sheep 2,PL,0.40051652,184.6772089,94.45564488,45.425,25.438,85.07808547,1.95360252,4.893080103,188.8390234,150.00898,26.06356418,70.33825481,267.7294366,56.84581361,80.64636735,53.11217544,4.425,51.48190139,0.622977717,61.272775
Sheep,Sheep 3,PL,1.279499182,193.7894578,162.1794696,23.61702128,22.18553191,97.37000131,5.314307789,4.510489085,184.6572789,208.9307153,28.11081145,81.34766186,359.6253712,59.49122992,147.9164011,71.49108726,3.510638298,87.34460597,0.57172408,70.294725
Sheep,Sheep 1,EDL,1.316852659,280.297916,201.5728366,54.27272727,38.76727273,146.7881218,2.936780083,5.420113501,263.9796978,214.7375332,28.57110407,82.64622299,372.9258177,58.50130207,153.8946205,71.60359111,5.681818182,57.17104182,0.738789683,64.54897959
Sheep,Sheep 2,EDL,1.052566626,210.3813096,103.8946816,53.2173913,14.15826087,80.82247177,1.649130114,4.700375542,279.0940378,149.657959,29.09021603,81.0514906,334.4334508,45.43535095,73.74056774,51.75826212,5.260869565,37.55118506,0.740698915,61.335
Sheep,Sheep 3,EDL,1.41422879,280.4898499,215.4991104,49.16326531,35.67428571,141.9439876,3.435732512,5.274816444,243.5094309,237.1052296,34.08675737,96.2421642,454.7077354,52.92949231,172.3391627,72.44410556,5.469387755,49.75895067,0.776110737,71.3372549
Sheep,Sheep 1,S,1.05585329,237.2029678,160.8173642,48.54166667,23.50833333,106.7997137,2.730354878,4.947993682,292.3252292,187.3867533,28.94344567,81.41250751,375.6110368,50.96697482,131.5953804,71.15754613,6.75,37.40051664,0.783555044,65.2725
Sheep,Sheep 2,S,1.156876155,230.706839,112.5154191,65.75,27.965,104.8770699,1.979921431,5.094476499,229.2749675,102.4303212,39.80198257,110.0758,380.1460502,28.92745628,59.76455837,59.2078233,2.975,45.69621502,0.476984127,47.585
Sheep,Sheep 3,S,1.259640437,202.5090426,153.0304743,27.59090909,19.98181818,93.38194176,3.889343588,4.587862675,191.7773561,178.411111,27.29170744,78.67247404,345.7781924,52.2537609,134.4181406,75.92181086,6.045454545,36.33883352,0.782186311,48.4875
Pig,Pig 1,PL,1.498827586,192.7537,202.4889,23.975,32.158,122.8720762,5.756328512,4.856609323,165.76895,237.477625,30.415775,85.23175,342.7321,71.52061864,186.07875,79.17695506,2.55,125.7327907,0.444107143,62.89055
Pig,Pig 2,PL,1.100454545,259.87425,234.907025,36.8,39.858,153.6844541,5.09345415,5.223946744,230.866825,297.134475,33.46775,95.9091,452.80385,67.17366928,219.1039,74.48721582,2.975,176.0794573,0.38099965,90.013925
Pig,Pig 3,PL,1.108884615,270.133725,284.4487,28.625,41.027,163.9039526,6.455839042,5.145555145,242.53105,323.397075,39.2022,116.855975,511.95465,64.44336738,261.910225,81.23375354,5.65,109.2581145,0.63820995,91.8026
Pig,Pig 1,EDL,1.45,173.53,166.11,22.375,26.95,99.557479,4.884994327,4.673506419,152.62,198.95,25.72875,75.5325,290.75475,70.16901448,151.5225,75.97032591,2.175,126.7103393,0.331607143,75.05
